yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
21702022,2170,2022,CT0009500,CT0009500,,N,N,,I,NEW LONDON,NEW LONDON PD,New London,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,27667,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,56,3,59,8,14,22,2.3,2.9,1998-01-01,1998-01-01,2020-03-01,2020-02-01,2020-03-01,2020-03-01,N,NEW LONDON,"Norwich-New London, CT",Y,Y,Y
21712022,2171,2022,CT0009600,CT0009600,,N,N,,I,NEW MILFORD,NEW MILFORD PD,New Milford,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,28252,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,42,3,45,5,8,13,1.7,2.1,1998-01-01,2001-01-01,2021-03-01,2020-03-01,2021-03-01,2021-03-01,N,LITCHFIELD,Not Specified,Y,Y,Y
21722022,2172,2022,CT0009700,CT0009700,,N,N,,I,NEWTOWN,NEWTOWN PD,Newtown,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,27918,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,37,2,39,8,12,20,1.6,2.1,1998-01-01,2003-04-01,2020-11-01,2020-03-01,2020-11-01,2020-11-01,N,FAIRFIELD,"Bridgeport-Stamford-Norwalk, CT",Y,Y,Y
21732022,2173,2022,CT0009900,CT0009900,,N,N,,I,NORTH BRANFORD,NORTH BRANFORD PD,North Branford,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,13474,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,21,5,26,2,1,3,1.7,2.2,1998-01-01,1998-12-01,2021-01-01,2020-03-01,2021-01-01,2021-01-01,N,NEW HAVEN,"New Haven-Milford, CT",Y,Y,Y
21742022,2174,2022,CT0010100,CT0010100,,N,N,,I,NORTH HAVEN,NORTH HAVEN PD,North Haven,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,24119,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,50,2,52,6,8,14,2.3,2.7,1998-01-01,1998-01-01,2020-02-01,2020-02-01,2020-02-01,2020-02-01,N,NEW HAVEN,"New Haven-Milford, CT",Y,Y,Y
21752022,2175,2022,CT0010300,CT0010300,,N,N,,I,NORWALK,NORWALK PD,Norwalk,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,91414,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,155,14,169,21,17,38,1.9,2.3,1998-01-01,1999-10-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,FAIRFIELD,"Bridgeport-Stamford-Norwalk, CT",Y,Y,Y
21762022,2176,2022,CT0010400,CT0010400,,N,N,,I,NORWICH,NORWICH PD,Norwich,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,40096,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,69,4,73,11,11,22,2.0,2.4,1998-01-01,2018-01-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,NEW LONDON,"Norwich-New London, CT",Y,Y,Y
21772022,2177,2022,CT0010600,CT0010600,,N,N,,I,OLD SAYBROOK,OLD SAYBROOK PD,Old Saybrook,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,10613,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,N,0,0,0,0,0,0,0.0,0.0,1998-01-01,2010-09-01,2022-01-01,2022-01-01,2022-01-01,2022-01-01,N,MIDDLESEX,"Hartford-East Hartford-MIddletown, CT",Y,Y,Y
21782022,2178,2022,CT0010700,CT0010700,,N,N,,I,ORANGE,ORANGE PD,Orange,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,14239,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,40,3,43,5,6,11,3.2,3.8,1998-01-01,1998-01-01,2020-08-01,2020-03-01,2020-08-01,2020-08-01,N,NEW HAVEN,"New Haven-Milford, CT",Y,Y,Y
21792022,2179,2022,CT0010900,CT0010900,,N,N,,I,PLAINFIELD,PLAINFIELD PD,Plainfield,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,14971,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,14,3,17,3,2,5,1.1,1.5,1998-01-01,1998-01-01,2021-05-01,2020-03-01,2021-05-01,2021-05-01,N,WINDHAM,"Worcester, MA-CT",Y,Y,Y
